,MODEL.BACKBONE.NAME,DATASET.ROI,score,defrost_score
0,i3d_flow,i3d_flow_htROI1,0.206219881772995,0.10200000000000001
9,i3d_flow,S-htROI4,0.0768619030714035,0.039
10,i3d_flow,S-htROI6,0.17444078624248505,0.08700000000000001
11,i3d_flow,S-htROI8,0.3102254271507263,0.156
12,i3d_flow,S-htROI1,0.3480406701564789,0.17400000000000002
13,i3d_flow,S-htROI7,0.20348399877548218,0.10200000000000001
14,i3d_flow,S-htROI5,0.17003430426120758,0.084
15,i3d_flow,S-htROI2,0.4471854865550995,0.225
16,i3d_flow,S-htROI3,0.01992373913526535,0.009000000000000001
145,2d_moby_swin_warp_3d,EBA,0.33525392413139343,0.168
146,2d_moby_swin_warp_3d,V4,0.24766892194747925,0.123
147,2d_moby_swin_warp_3d,REST,0.09966235607862473,0.051000000000000004
148,2d_moby_swin_warp_3d,V2,0.2989913523197174,0.15
149,2d_moby_swin_warp_3d,FFA,0.26334118843078613,0.132
150,2d_moby_swin_warp_3d,V1,0.3049599826335907,0.153
151,2d_moby_swin_warp_3d,PPA,0.21286793053150177,0.105
152,2d_moby_swin_warp_3d,LOC,0.30344268679618835,0.153
153,2d_moby_swin_warp_3d,V3,0.2824977934360504,0.14100000000000001
154,2d_moby_swin_warp_3d,STS,0.1736903041601181,0.08700000000000001
155,2d_seg_swin_warp_3d,2d_seg_swin_warp_3d_htROI5,0.23227350413799286,0.117
156,2d_seg_swin_warp_3d,2d_seg_swin_warp_3d_htROI2,0.35949522256851196,0.18
157,2d_seg_swin_warp_3d,2d_seg_swin_warp_3d_htROI6,0.3956005275249481,0.198
158,2d_seg_swin_warp_3d,2d_seg_swin_warp_3d_htROI3,0.029277140274643898,0.015
159,2d_seg_swin_warp_3d,2d_seg_swin_warp_3d_htROI1,0.25058767199516296,0.126
160,2d_seg_swin_warp_3d,2d_seg_swin_warp_3d_htROI4,0.22181130945682526,0.111
161,i3d_rgb,S-htROI6,0.170438751578331,0.084
162,i3d_rgb,S-htROI3,0.023696918040513992,0.012
163,i3d_rgb,S-htROI8,0.3038843870162964,0.153
164,i3d_rgb,S-htROI5,0.17139407992362976,0.08700000000000001
165,i3d_rgb,S-htROI7,0.23585562407970428,0.117
166,i3d_rgb,S-htROI4,0.10826759785413742,0.054
167,i3d_rgb,S-htROI1,0.37440529465675354,0.186
168,i3d_rgb,S-htROI2,0.4167386293411255,0.20700000000000002
297,2d_colorizer_warp_3d,S-htROI4,0.0739843025803566,0.036000000000000004
298,2d_colorizer_warp_3d,S-htROI1,0.35693463683128357,0.177
299,2d_colorizer_warp_3d,S-htROI8,0.1768162101507187,0.08700000000000001
300,2d_colorizer_warp_3d,S-htROI6,0.11184526234865189,0.057
301,2d_colorizer_warp_3d,S-htROI7,0.14682245254516602,0.07200000000000001
302,2d_colorizer_warp_3d,S-htROI3,0.020819498226046562,0.009000000000000001
303,2d_colorizer_warp_3d,S-htROI2,0.2813769280910492,0.14100000000000001
304,2d_colorizer_warp_3d,S-htROI5,0.1305660456418991,0.066
305,2d_densnet_warp_3d,PPA,0.21554820239543915,0.108
306,2d_densnet_warp_3d,V1,0.2731662094593048,0.138
307,2d_densnet_warp_3d,FFA,0.2470482885837555,0.123
308,2d_densnet_warp_3d,EBA,0.32362306118011475,0.162
309,2d_densnet_warp_3d,V3,0.25168177485466003,0.126
310,2d_densnet_warp_3d,V4,0.22728058695793152,0.114
311,2d_densnet_warp_3d,LOC,0.2955726981163025,0.147
312,2d_densnet_warp_3d,STS,0.1655712127685547,0.084
313,2d_densnet_warp_3d,REST,0.09275955706834793,0.045
314,2d_densnet_warp_3d,V2,0.27024534344673157,0.135
485,2d_simclr_warp_3d,2d_simclr_warp_3d_htROI6,0.2158689647912979,0.108
486,2d_simclr_warp_3d,2d_simclr_warp_3d_htROI2,0.2119460552930832,0.105
487,2d_simclr_warp_3d,2d_simclr_warp_3d_htROI8,0.18725503981113434,0.093
488,2d_simclr_warp_3d,2d_simclr_warp_3d_htROI4,0.40388283133506775,0.201
489,2d_simclr_warp_3d,2d_simclr_warp_3d_htROI7,0.041795291006565094,0.021
490,2d_simclr_warp_3d,2d_simclr_warp_3d_htROI3,0.201151043176651,0.10200000000000001
491,2d_simclr_warp_3d,2d_simclr_warp_3d_htROI1,0.2269313931465149,0.114
492,2d_simclr_warp_3d,2d_simclr_warp_3d_htROI5,0.40744274854660034,0.20400000000000001
493,2d_simclr_warp_3d,2d_simclr_warp_3d_htROI9,0.16892331838607788,0.084
680,2d_bdcnvgg_warp_3d,EBA,0.12598468363285065,0.063
681,2d_bdcnvgg_warp_3d,STS,0.07094742357730865,0.036000000000000004
682,2d_bdcnvgg_warp_3d,V1,0.16225163638591766,0.081
683,2d_bdcnvgg_warp_3d,V4,0.08818010240793228,0.045
684,2d_bdcnvgg_warp_3d,LOC,0.11634743958711624,0.057
685,2d_bdcnvgg_warp_3d,REST,0.026716604828834534,0.012
686,2d_bdcnvgg_warp_3d,V2,0.16079100966453552,0.081
687,2d_bdcnvgg_warp_3d,FFA,0.10504704713821411,0.054
688,2d_bdcnvgg_warp_3d,PPA,0.04815817251801491,0.024
689,2d_bdcnvgg_warp_3d,V3,0.13638927042484283,0.069
986,2d_bdcnvgg_warp_3d,S-htROI1,0.24613597989082336,0.123
987,2d_bdcnvgg_warp_3d,S-htROI7,0.08682660013437271,0.042
988,2d_bdcnvgg_warp_3d,S-htROI2,0.1926659196615219,0.096
989,2d_bdcnvgg_warp_3d,S-htROI5,0.0566842146217823,0.027
990,2d_bdcnvgg_warp_3d,S-htROI8,0.0828719511628151,0.042
991,2d_bdcnvgg_warp_3d,S-htROI3,0.004280653316527605,0.003
992,2d_bdcnvgg_warp_3d,S-htROI4,0.024053998291492462,0.012
993,2d_bdcnvgg_warp_3d,S-htROI6,0.0617721751332283,0.03
1420,2d_seg_swin_warp_3d,EBA,0.2984093129634857,0.15
1421,2d_seg_swin_warp_3d,V4,0.2340143769979477,0.117
1422,2d_seg_swin_warp_3d,REST,0.09537652879953384,0.048
1423,2d_seg_swin_warp_3d,V3,0.26082178950309753,0.129
1424,2d_seg_swin_warp_3d,FFA,0.24570046365261078,0.123
1425,2d_seg_swin_warp_3d,V1,0.3019445538520813,0.15
1426,2d_seg_swin_warp_3d,PPA,0.22070428729057312,0.111
1427,2d_seg_swin_warp_3d,LOC,0.2805192172527313,0.14100000000000001
1428,2d_seg_swin_warp_3d,V2,0.2845051884651184,0.14100000000000001
1429,2d_seg_swin_warp_3d,STS,0.15305475890636444,0.078
1768,2d_moby_swin_warp_3d,S-htROI8,0.2982339859008789,0.15
1769,2d_moby_swin_warp_3d,S-htROI4,0.10182830691337585,0.051000000000000004
1770,2d_moby_swin_warp_3d,S-htROI2,0.4192213714122772,0.21
1771,2d_moby_swin_warp_3d,S-htROI5,0.20849257707595825,0.105
1772,2d_moby_swin_warp_3d,S-htROI6,0.1909373551607132,0.096
1773,2d_moby_swin_warp_3d,S-htROI1,0.4202801287174225,0.21
1774,2d_moby_swin_warp_3d,S-htROI7,0.2440137267112732,0.123
1775,2d_moby_swin_warp_3d,S-htROI3,0.030276570469141006,0.015
1776,3d_swin,V3,0.261740118265152,0.132
1777,3d_swin,STS,0.17403294146060944,0.08700000000000001
1778,3d_swin,EBA,0.3525945842266083,0.177
1779,3d_swin,V2,0.28192436695098877,0.14100000000000001
1780,3d_swin,V4,0.232280433177948,0.117
1781,3d_swin,V1,0.29357272386550903,0.147
1782,3d_swin,LOC,0.31786736845970154,0.159
1783,3d_swin,REST,0.10914337635040283,0.054
1784,3d_swin,PPA,0.21519380807876587,0.108
1785,3d_swin,FFA,0.2636483907699585,0.132
1786,audio_vggish,REST,0.04615942761301994,0.024
1787,audio_vggish,V2,0.08599772304296494,0.042
1788,audio_vggish,LOC,0.16911976039409637,0.084
1789,audio_vggish,V4,0.08086107671260834,0.039
1790,audio_vggish,V3,0.072727732360363,0.036000000000000004
1791,audio_vggish,PPA,0.13438111543655396,0.066
1792,audio_vggish,FFA,0.1490423083305359,0.075
1793,audio_vggish,STS,0.10839308798313141,0.054
1794,audio_vggish,EBA,0.19728487730026245,0.099
1795,audio_vggish,V1,0.10437769442796707,0.051000000000000004
1796,2d_simclr_warp_3d,REST,0.10858757793903351,0.054
1797,2d_simclr_warp_3d,LOC,0.3130684196949005,0.156
1798,2d_simclr_warp_3d,V4,0.24446438252925873,0.123
1799,2d_simclr_warp_3d,V3,0.27536529302597046,0.138
1800,2d_simclr_warp_3d,STS,0.16831856966018677,0.084
1801,2d_simclr_warp_3d,V2,0.2966292202472687,0.147
1802,2d_simclr_warp_3d,V1,0.30334436893463135,0.153
1803,2d_simclr_warp_3d,EBA,0.33859166502952576,0.168
1804,2d_simclr_warp_3d,FFA,0.2674084007740021,0.135
1805,2d_simclr_warp_3d,PPA,0.21643735468387604,0.108
