,model_sch,he_sch,roi_sch,cross_roi_sch,WB,V1,V2,V3,V4,LOC,EBA,FFA,STS,PPA,REST,SMC1,SMC2,MC2,MC1,SC3,SC4,LC1,LC2,LC3,LC4,LC5
3,single_layer&i3d_rgb+i3d_flow,H3,WB,,0.1602/0.3567,0.2302/0.4921,0.2409/0.5266,0.2510/0.5729,0.2329/0.6239,0.3437/0.6975,0.3860/0.7368,0.2853/0.7175,0.2025/0.5475,0.2092/0.5746,0.1301/-,0.1066/-,0.0371/-,0.2670/-,0.0488/-,0.2886/-,0.2458/-,0.0766/-,0.3118/-,0.2401/-,0.4527/-,0.3264/-
2,single_layer&i3d_rgb+i3d_flow,H3,ROI,,0.1700/0.3658,0.3333/0.6613,0.3228/0.6826,0.3061/0.6760,0.2829/0.7227,0.3582/0.7247,0.4063/0.7698,0.3188/0.7857,0.2289/0.5901,0.2455/0.6100,0.1341/-,0.1166/-,0.0417/-,0.2818/-,0.0543/-,0.3059/-,0.2581/-,0.0833/-,0.3202/-,0.2499/-,0.4723/-,0.3779/-
18,single_layer&i3d_rgb+i3d_flow,H3,LC,,0.1754/0.3710,0.2963/0.5808,0.2943/0.6075,0.2885/0.6304,0.2568/0.6552,0.3590/0.7156,0.3988/0.7596,0.3009/0.7523,0.2166/0.5695,0.2285/0.5884,0.1432/-,0.1247/-,0.0442/-,0.2788/-,0.0577/-,0.3030/-,0.2549/-,0.0859/-,0.3265/-,0.2580/-,0.4797/-,0.4134/-
20,single_layer&i3d_rgb+i3d_flow,H3,MC,,0.1753/0.3747,0.2982/0.5910,0.2965/0.6167,0.2923/0.6408,0.2593/0.6642,0.3606/0.7186,0.4017/0.7635,0.3020/0.7548,0.2139/0.5728,0.2284/0.5908,0.1427/-,0.1201/-,0.0430/-,0.2888/-,0.0560/-,0.3178/-,0.2603/-,0.0857/-,0.3265/-,0.2580/-,0.4797/-,0.4134/-
8,single_layer&i3d_rgb+i3d_flow,H3,SMC,,0.1775/0.3777,0.2998/0.5884,0.2983/0.6173,0.2927/0.6420,0.2596/0.6649,0.3604/0.7191,0.4021/0.7642,0.3007/0.7537,0.2150/0.5750,0.2293/0.5922,0.1453/-,0.1338/-,0.0451/-,0.2888/-,0.0600/-,0.3178/-,0.2603/-,0.0892/-,0.3265/-,0.2580/-,0.4797/-,0.4134/-
19,single_layer&i3d_rgb+i3d_flow,H3,SC,,0.1778/0.3778,0.3010/0.5901,0.3003/0.6199,0.2938/0.6420,0.2608/0.6643,0.3608/0.7190,0.4025/0.7651,0.3022/0.7560,0.2177/0.5788,0.2293/0.5920,0.1456/-,0.1338/-,0.0451/-,0.2935/-,0.0600/-,0.3258/-,0.2616/-,0.0898/-,0.3265/-,0.2580/-,0.4797/-,0.4134/-
6,single_layer&i3d_rgb+i3d_flow,H3,ROIxLC,croi_ensemble,0.1778/0.3766,0.3334/0.6615,0.3230/0.6823,0.3079/0.6794,0.2834/0.7249,0.3621/0.7270,0.4069/0.7724,0.3195/0.7856,0.2296/0.5903,0.2456/0.6110,0.1432/-,0.1285/-,0.0451/-,0.2879/-,0.0591/-,0.3129/-,0.2633/-,0.0884/-,0.3278/-,0.2608/-,0.4822/-,0.4186/-
15,single_layer&i3d_rgb+i3d_flow,H3,ROIxMC,croi_ensemble,0.1775/0.3793,0.3335/0.6619,0.3231/0.6820,0.3078/0.6792,0.2837/0.7241,0.3627/0.7275,0.4071/0.7730,0.3197/0.7855,0.2311/0.5858,0.2457/0.6107,0.1428/-,0.1243/-,0.0441/-,0.2952/-,0.0576/-,0.3237/-,0.2672/-,0.0879/-,0.3278/-,0.2608/-,0.4822/-,0.4186/-
14,single_layer&i3d_rgb+i3d_flow,H3,ROIxSMC,croi_ensemble,0.1798/0.3824,0.3339/0.6620,0.3232/0.6817,0.3078/0.6794,0.2838/0.7239,0.3627/0.7275,0.4072/0.7726,0.3198/0.7848,0.2314/0.5872,0.2456/0.6114,0.1455/-,0.1381/-,0.0462/-,0.2953/-,0.0616/-,0.3238/-,0.2672/-,0.0915/-,0.3278/-,0.2608/-,0.4822/-,0.4186/-
1,single_layer&i3d_rgb+i3d_flow,H3,ROIxSC,croi_ensemble,0.1800/0.3823,0.3338/0.6621,0.3232/0.6818,0.3080/0.6792,0.2841/0.7226,0.3631/0.7272,0.4074/0.7726,0.3204/0.7839,0.2311/0.5872,0.2457/0.6112,0.1458/-,0.1381/-,0.0462/-,0.2984/-,0.0616/-,0.3302/-,0.2670/-,0.0919/-,0.3278/-,0.2608/-,0.4822/-,0.4186/-
